,title,toprow,roominfo,facilities,price,rating,link,review,city
10,"2922 | Luxury, hardwood, jacuzzi + walk-in shower. - null - Keystone",Entire condominium in Keystone,4 guests · 1 bedroom · 1 bed · 1 bath,Wifi·Kitchen·Freeparking,Price:$151,Rating 4.63 out of 5;,http://airbnb.com/rooms/25034978?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,175 reviews,Breckinridge
11,Mountain lodge! Only steps from Main St & lifts! - null - Breckenridge,Entire townhouse in Breckenridge,8 guests · 2 bedrooms · 5 beds · 2 baths,Wifi·Kitchen·Freeparking,Price:$136,Rating 5.0 out of 5;,http://airbnb.com/rooms/42486545?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,35 reviews,Breckinridge
12,Ski-in Ski-out home with private balcony with views - null - Breckenridge,Private room in Breckenridge,2 guests · 1 bedroom · 1 bed · 1 bath,[],Price:$28,Price:,http://airbnb.com/rooms/46708388?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,-1,Breckinridge
13,Breck Condo with Incredible View - null - Breckenridge,Entire apartment in Breckenridge,4 guests · 1 bedroom · 2 beds · 1 bath,Wifi·Kitchen·Freeparking,Price:$101,Rating 4.90 out of 5;,http://airbnb.com/rooms/14143174?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,352 reviews,Breckinridge
14,Take a Break in Breck @ Stunning Ski In+Out Studio - null - Breckenridge,Entire condominium in Breckenridge,4 guests · Studio · 2 beds · 1 bath,Hottub·Wifi·Kitchen,Price:$107,Rating 4.90 out of 5;,http://airbnb.com/rooms/30038060?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,196 reviews,Breckinridge
15,"8125 | Corner unit, wood floors, huge floor plan. - null - Keystone",Entire condominium in Keystone,6 guests · 1 bedroom · 3 beds · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$109,Rating 4.66 out of 5;,http://airbnb.com/rooms/22438764?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,80 reviews,Breckinridge
16,"Cozy Cabin in Breckenridge, CO - null - Breckenridge",Entire cabin in Breckenridge,6 guests · 3 bedrooms · 3 beds · 3 baths,Hottub·Wifi·Kitchen·Freeparking,Price:$288,Rating 4.81 out of 5;,http://airbnb.com/rooms/22060907?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,74 reviews,Breckinridge
17,NEW REMODEL Breck Studio Close to Town Big Kitchen - null - Breckenridge,Entire apartment in Breckenridge,4 guests · Studio · 3 beds · 1 bath,Wifi·Kitchen·Freeparking,Price:$79,Rating 4.85 out of 5;,http://airbnb.com/rooms/13636292?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,345 reviews,Breckinridge
18,Ski in ski out property with a view! - null - Breckenridge,Entire serviced apartment in Breckenridge,8 guests · 2 bedrooms · 4 beds · 2 baths,Hottub·Wifi·Kitchen·Freeparking,Price:$170,Price:,http://airbnb.com/rooms/46486699?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,-1,Breckinridge
19,"7231 | Ski-in/out Peak 9, Olympic Heated Pool! - null - Breckenridge",Entire condominium in Breckenridge,4 guests · Studio · 2 beds · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$125,Rating 4.90 out of 5;,http://airbnb.com/rooms/25945921?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,82 reviews,Breckinridge
0,"7667 | Ski-in/out, Jacuzzi Tub, Year Round Pool! - null - Breckenridge",Entire condominium in Breckenridge,4 guests · Studio · 1 bed · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$140,Rating 4.89 out of 5;,http://airbnb.com/rooms/33188409?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,66 reviews,Breckinridge
1,NEW LISTING! Modern Mountain Getaway - Spectacular Views! - null - Breckenridge,Entire cabin in Breckenridge,6 guests · 3 bedrooms · 3 beds · 2 baths,Wifi·Kitchen·Freeparking,Price:$243,Rating 4.88 out of 5;,http://airbnb.com/rooms/39110864?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,48 reviews,Breckinridge
2,Hip and Cozy King Studio. In town. Across from Lifts. - null - Breckenridge,Entire condominium in Breckenridge,3 guests · Studio · 2 beds · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$144,Rating 4.90 out of 5;,http://airbnb.com/rooms/plus/4993745?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,427 reviews,Breckinridge
3,Cool Mountain Getaway 420 OK - Private Suite - null - Alma,Entire guest suite in Alma,4 guests · Studio · 2 beds · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$50,Rating 4.90 out of 5;,http://airbnb.com/rooms/27608528?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,72 reviews,Breckinridge
4,Breck Condo - Million Dollar View - null - Breckenridge,Entire apartment in Breckenridge,4 guests · 1 bedroom · 2 beds · 1 bath,Wifi·Kitchen·Freeparking,Price:$102,Rating 4.90 out of 5;,http://airbnb.com/rooms/6094610?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,480 reviews,Breckinridge
5,Studio Condo on Lake Dillon - null - Dillon,Entire condominium in Dillon,2 guests · Studio · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$80,Price:,http://airbnb.com/rooms/45524944?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,-1,Breckinridge
6,"Cozy Cabin in Breckenridge, CO - null - Breckenridge",Entire cabin in Breckenridge,6 guests · 3 bedrooms · 3 beds · 3 baths,Hottub·Wifi·Kitchen·Freeparking,Price:$288,Rating 4.81 out of 5;,http://airbnb.com/rooms/22060907?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,74 reviews,Breckinridge
7,Charming and cozy one bedroom condo - null - Frisco,Entire apartment in Frisco,4 guests · 1 bedroom · 1 bed · 1 bath,Wifi·Kitchen·Freeparking,Price:$109,Rating 4.89 out of 5;,http://airbnb.com/rooms/7110496?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,216 reviews,Breckinridge
8,Cozy Mountain Getaway In The Heart Of Ski Country - null - Dillon,Entire condominium in Dillon,3 guests · Studio · 2 beds · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$64,Rating 4.82 out of 5;,http://airbnb.com/rooms/41983903?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,38 reviews,Breckinridge
9,"Ski In, Ski Out, Walk to town. - null - Breckenridge",Entire condominium in Breckenridge,4 guests · 1 bedroom · 1 bed · 2 baths,Hottub·Wifi·Kitchen·Freeparking,Price:$150,Rating 4.81 out of 5;,http://airbnb.com/rooms/4668769?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,194 reviews,Breckinridge
10,Val D'Isere Dowtown Breck 1 Bedroom - null - Breckenridge,Entire apartment in Breckenridge,3 guests · 1 bedroom · 1 bed · 1 bath,Wifi·Kitchen·Freeparking,Price:$85,Rating 4.74 out of 5;,http://airbnb.com/rooms/18833920?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,155 reviews,Breckinridge
11,"Stunning, Luxury Condo in Downtown Breckenridge! The Residence at Aurum - null - Breckenridge",Entire condominium in Breckenridge,4 guests · 1 bedroom · 1 bath,Wifi·Kitchen·Freeparking,Price:$150,Rating 4.67 out of 5;,http://airbnb.com/rooms/45177261?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,3 reviews,Breckinridge
12,Stylish 2 Bedroom in Trees. On Free Bus Route - null - Breckenridge,Entire apartment in Breckenridge,4 guests · 2 bedrooms · 2 beds · 1 bath,Wifi·Kitchen·Freeparking,Price:$123,Rating 4.93 out of 5;,http://airbnb.com/rooms/16242185?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,310 reviews,Breckinridge
13,"8562 | 4 season poolside patio, steps to gondola. - null - Keystone",Entire condominium in Keystone,6 guests · 2 bedrooms · 5 beds · 2 baths,Hottub·Wifi·Kitchen·Freeparking,Price:$140,Rating 4.52 out of 5;,http://airbnb.com/rooms/22009701?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,61 reviews,Breckinridge
14,"8174 | Cozy, wood floors, steps to the gondola! - null - Keystone",Entire condominium in Keystone,4 guests · 1 bedroom · 1 bed · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$110,Rating 4.75 out of 5;,http://airbnb.com/rooms/23376559?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,99 reviews,Breckinridge
15,"Creekside Como cabin, offgrid, with amazing views! - null - Como",Entire cabin in Como,2 guests · 1 bedroom · 1 bed · 1 bath,Kitchen·Freeparking,Price:$112,Rating 4.95 out of 5;,http://airbnb.com/rooms/17386754?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,258 reviews,Breckinridge
16,Quandary Condo - Hike & Explore Breck! - null - Breckenridge,Entire apartment in Breckenridge,4 guests · 1 bedroom · 2 beds · 1 bath,Wifi·Kitchen·Freeparking,Price:$54,Rating 4.79 out of 5;,http://airbnb.com/rooms/21805401?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,122 reviews,Breckinridge
17,1 Bedroom Across from Gondola/on Main Street - null - Breckenridge,Entire condominium in Breckenridge,4 guests · 1 bedroom · 2 beds · 1 bath,Wifi·Kitchen·Freeparking,Price:$85,Rating 4.87 out of 5;,http://airbnb.com/rooms/25277701?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,196 reviews,Breckinridge
18,"7767 | Ski-in/out Peak 9, Olympic Heated Pool! - null - Breckenridge",Entire condominium in Breckenridge,4 guests · Studio · 1 bed · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$113,Rating 4.85 out of 5;,http://airbnb.com/rooms/23859468?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,100 reviews,Breckinridge
19,Studio Condo on Lake Dillon - null - Dillon,Entire condominium in Dillon,2 guests · Studio · 0 beds · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$80,Price:,http://airbnb.com/rooms/35787688?adults=1&previous_page_section_name=1000&federated_search_id=69512ec8-5093-4308-9e2d-6d2b9810d4e9,-1,Breckinridge
0,Riverbend - Ski-In/Ski-Out - Walk to Town - null - Breckenridge,Entire condominium in Breckenridge,4 guests · 1 bedroom · 2 beds · 1.5 baths,Hottub·Wifi·Kitchen·Freeparking,Price:$80,Rating 4.90 out of 5;,http://airbnb.com/rooms/29854088?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,82 reviews,Breckinridge
1,"8174 | Cozy, wood floors, steps to the gondola! - null - Keystone",Entire condominium in Keystone,4 guests · 1 bedroom · 1 bed · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$110,Rating 4.75 out of 5;,http://airbnb.com/rooms/23376559?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,99 reviews,Breckinridge
2,Cozy Val d'Isere Chalet- Steps into Town! - null - Breckenridge,Entire condominium in Breckenridge,4 guests · 1 bedroom · 2 beds · 1 bath,Wifi·Kitchen·Freeparking,Price:$94,Rating 4.71 out of 5;,http://airbnb.com/rooms/21643450?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,193 reviews,Breckinridge
3,"Miner's Launchpad, Close to Mountain and Town - null - Breckenridge",Entire condominium in Breckenridge,4 guests · 1 bedroom · 2 beds · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$155,Rating 5.0 out of 5;,http://airbnb.com/rooms/45640444?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,7 reviews,Breckinridge
4,Studio Condo on Lake Dillon - null - Dillon,Entire condominium in Dillon,2 guests · Studio · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$80,Price:,http://airbnb.com/rooms/45524944?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,-1,Breckinridge
5,Cozy Mountain Getaway In The Heart Of Ski Country - null - Dillon,Entire condominium in Dillon,3 guests · Studio · 2 beds · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$64,Rating 4.82 out of 5;,http://airbnb.com/rooms/41983903?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,38 reviews,Breckinridge
6,"Creekside Como cabin, offgrid, with amazing views! - null - Como",Entire cabin in Como,2 guests · 1 bedroom · 1 bed · 1 bath,Kitchen·Freeparking,Price:$112,Rating 4.95 out of 5;,http://airbnb.com/rooms/17386754?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,258 reviews,Breckinridge
7,Stunning Ski Area Views-1BR Breck Condo - null - Breckenridge,Entire condominium in Breckenridge,4 guests · 1 bedroom · 2 beds · 1 bath,Wifi·Kitchen·Freeparking,Price:$75,Rating 4.95 out of 5;,http://airbnb.com/rooms/29739915?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,130 reviews,Breckinridge
8,"4 O'Clock Lodge-Ski-in, Walk to Snowflake & Town! - null - Breckenridge",Entire apartment in Breckenridge,2 guests · Studio · 1 bed · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$116,Rating 4.89 out of 5;,http://airbnb.com/rooms/21413021?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,140 reviews,Breckinridge
9,Charming and cozy one bedroom condo - null - Frisco,Entire apartment in Frisco,4 guests · 1 bedroom · 1 bed · 1 bath,Wifi·Kitchen·Freeparking,Price:$109,Rating 4.89 out of 5;,http://airbnb.com/rooms/7110496?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,216 reviews,Breckinridge
10,Cool Mountain Getaway 420 OK - Private Suite - null - Alma,Entire guest suite in Alma,4 guests · Studio · 2 beds · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$50,Rating 4.90 out of 5;,http://airbnb.com/rooms/27608528?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,72 reviews,Breckinridge
11,Downtown Breckenridge condo. Walk to everything. - null - Breckenridge,Entire condominium in Breckenridge,4 guests · Studio · 2 beds · 1 bath,Wifi·Kitchen·Freeparking,Price:$103,Rating 4.88 out of 5;,http://airbnb.com/rooms/19326682?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,211 reviews,Breckinridge
12,Quandary Condo - Hike & Explore Breck! - null - Breckenridge,Entire apartment in Breckenridge,4 guests · 1 bedroom · 2 beds · 1 bath,Wifi·Kitchen·Freeparking,Price:$54,Rating 4.79 out of 5;,http://airbnb.com/rooms/21805401?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,122 reviews,Breckinridge
13,Location!! Garage parking & budget friendly! - null - Breckenridge,Entire condominium in Breckenridge,2 guests · Studio · 0 beds · 1 bath,Wifi·Kitchen·Freeparking,Price:$110,Rating 4.72 out of 5;,http://airbnb.com/rooms/16725689?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,266 reviews,Breckinridge
14,"NEW* Mdrn Cabin-deck,hot tub,VIEWS! mins to MainSt - null - Breckenridge",Entire cabin in Breckenridge,9 guests · 3 bedrooms · 6 beds · 2 baths,Hottub·Wifi·Kitchen·Freeparking,Price:$289,Rating 4.96 out of 5;,http://airbnb.com/rooms/38296967?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,57 reviews,Breckinridge
15,"8562 | 4 season poolside patio, steps to gondola. - null - Keystone",Entire condominium in Keystone,6 guests · 2 bedrooms · 5 beds · 2 baths,Hottub·Wifi·Kitchen·Freeparking,Price:$140,Rating 4.52 out of 5;,http://airbnb.com/rooms/22009701?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,61 reviews,Breckinridge
16,"7547 | Ski-in/out Peak 9, Olympic Heated Pool! - null - Breckenridge",Entire condominium in Breckenridge,4 guests · Studio · 1 bed · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$133,Rating 4.82 out of 5;,http://airbnb.com/rooms/25946916?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,98 reviews,Breckinridge
17,Slopeside Luxury Grand Lodge Peak 7 (Unavailable) - null - Breckenridge,Entire condominium in Breckenridge,4 guests · 1 bedroom · 2 beds · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$150,Price:,http://airbnb.com/rooms/37487861?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,-1,Breckinridge
18,"New Listing! New Remodel! Upgrades Galore, Fast WiFi Near Slopes & Bus! - null - Breckenridge",Entire condominium in Breckenridge,8 guests · 2 bedrooms · 3 beds · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$143,Rating 4.70 out of 5;,http://airbnb.com/rooms/39168914?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,40 reviews,Breckinridge
19,"Hidden Gem, Walk to town, Peak 9! Free parking! - null - Breckenridge",Entire condominium in Breckenridge,4 guests · Studio · 1 bed · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$115,Rating 5.0 out of 5;,http://airbnb.com/rooms/35639500?adults=1&previous_page_section_name=1000&federated_search_id=cc95207a-a50b-4cc7-a33e-69f764989051,83 reviews,Breckinridge
0,Dog Friendly! Ski-in/Creekside 1BR Walk to Town! - null - Breckenridge,Entire condominium in Breckenridge,4 guests · 1 bedroom · 1 bed · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$145,Rating 4.90 out of 5;,http://airbnb.com/rooms/39700249?adults=1&previous_page_section_name=1000&federated_search_id=3d02b304-48b6-4fd7-ae55-874fa36999c2,41 reviews,Breckinridge
1,Charming Chalet - Easy Access to Town and Lift! - null - Breckenridge,Entire townhouse in Breckenridge,6 guests · 3 bedrooms · 4 beds · 2 baths,Wifi·Kitchen·Freeparking,Price:$156,Price:,http://airbnb.com/rooms/46562771?adults=1&previous_page_section_name=1000&federated_search_id=3d02b304-48b6-4fd7-ae55-874fa36999c2,-1,Breckinridge
2,Huge 2 Bedroom Condo with Private Hot Tub - Quick Walk to the Slopes! - null - Keystone,Entire house in Keystone,8 guests · 2 bedrooms · 5 beds · 2 baths,Hottub·Wifi·Kitchen·Freeparking,Price:$149,Rating 4.74 out of 5;,http://airbnb.com/rooms/16257623?adults=1&previous_page_section_name=1000&federated_search_id=3d02b304-48b6-4fd7-ae55-874fa36999c2,47 reviews,Breckinridge
3,☆ Walk to Lake Dillon ☆ Adorable 1bd Condo! - null - Dillon,Entire condominium in Dillon,4 guests · 1 bedroom · 2 beds · 1 bath,Wifi·Kitchen·Freeparking,Price:$67,Rating 4.72 out of 5;,http://airbnb.com/rooms/30795266?adults=1&previous_page_section_name=1000&federated_search_id=3d02b304-48b6-4fd7-ae55-874fa36999c2,90 reviews,Breckinridge
4,▷☀ Ski In/Out ☀◁ Pools┃Hot Tubs┃KING BED┃Downtown - null - Breckenridge,Entire condominium in Breckenridge,4 guests · Studio · 2 beds · 1 bath,Hottub·Wifi·Kitchen,Price:$111,Rating 4.99 out of 5;,http://airbnb.com/rooms/40450633?adults=1&previous_page_section_name=1000&federated_search_id=3d02b304-48b6-4fd7-ae55-874fa36999c2,95 reviews,Breckinridge
5,Mini Retreat- Cozy and peaceful STEPS to The Lodge - null - Breckenridge,Entire apartment in Breckenridge,4 guests · 1 bedroom · 2 beds · 1 bath,Wifi·Kitchen·Freeparking,Price:$127,Rating 4.81 out of 5;,http://airbnb.com/rooms/21800149?adults=1&previous_page_section_name=1000&federated_search_id=3d02b304-48b6-4fd7-ae55-874fa36999c2,170 reviews,Breckinridge
6,Beaver Run Condo - Adventure and Luxury! - null - Breckenridge,Entire apartment in Breckenridge,4 guests · 1 bedroom · 2 beds · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$103,Rating 4.56 out of 5;,http://airbnb.com/rooms/20739457?adults=1&previous_page_section_name=1000&federated_search_id=3d02b304-48b6-4fd7-ae55-874fa36999c2,127 reviews,Breckinridge
7,💎GEM IN THE HEART OF BRECK! 💎WALK TO EVERYTHING! - null - Breckenridge,Entire condominium in Breckenridge,4 guests · 1 bedroom · 2 beds · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$162,Rating 4.79 out of 5;,http://airbnb.com/rooms/40621881?adults=1&previous_page_section_name=1000&federated_search_id=3d02b304-48b6-4fd7-ae55-874fa36999c2,57 reviews,Breckinridge
8,Charming Spot- Stellar views next to The Lodge - null - Breckenridge,Entire apartment in Breckenridge,2 guests · 1 bedroom · 2 beds · 1 bath,Wifi·Kitchen·Freeparking,Price:$121,Rating 4.90 out of 5;,http://airbnb.com/rooms/29783032?adults=1&previous_page_section_name=1000&federated_search_id=3d02b304-48b6-4fd7-ae55-874fa36999c2,69 reviews,Breckinridge
9,Apt 1.5 miles from town on bus route - null - Breckenridge,Entire guest suite in Breckenridge,2 guests · 1 bedroom · 1 bed · 1 bath,Wifi·Kitchen·Freeparking,Price:$75,Rating 4.91 out of 5;,http://airbnb.com/rooms/20194069?adults=1&previous_page_section_name=1000&federated_search_id=3d02b304-48b6-4fd7-ae55-874fa36999c2,55 reviews,Breckinridge
10,New Listing! Dtown Diamond in the Rough! Steam Shower & Parking! - null - Breckenridge,Entire condominium in Breckenridge,4 guests · 1 bedroom · 2 beds · 1 bath,Wifi·Kitchen·Freeparking,Price:$141,Rating 4.87 out of 5;,http://airbnb.com/rooms/39125276?adults=1&previous_page_section_name=1000&federated_search_id=3d02b304-48b6-4fd7-ae55-874fa36999c2,75 reviews,Breckinridge
11,NEW Listing! Brand New Remodel!  Slopes are a Shuttle Stop Away! - null - Breckenridge,Entire condominium in Breckenridge,8 guests · 2 bedrooms · 4 beds · 1 bath,Hottub·Wifi·Kitchen,Price:$188,Price:,http://airbnb.com/rooms/46745398?adults=1&previous_page_section_name=1000&federated_search_id=3d02b304-48b6-4fd7-ae55-874fa36999c2,-1,Breckinridge
12,Main St location! Walk to town! - null - Breckenridge,Entire condominium in Breckenridge,4 guests · 1 bedroom · 1 bed · 2 baths,Hottub·Wifi·Kitchen·Freeparking,Price:$116,Rating 4.83 out of 5;,http://airbnb.com/rooms/4668467?adults=1&previous_page_section_name=1000&federated_search_id=3d02b304-48b6-4fd7-ae55-874fa36999c2,195 reviews,Breckinridge
